x   y    phi(x,y)
0.0   0.0    0.0009890837880807
0.0   0.010101010101010102    0.001978167576554962
0.0   0.020202020202020204    0.0029672459874223074
0.0   0.030303030303030304    0.0039563028844507315
0.0   0.04040404040404041    0.0049453059979875135
0.0   0.05050505050505051    0.0059342015469898285
0.0   0.06060606060606061    0.006922908870182248
0.0   0.07070707070707072    0.007911315070240137
0.0   0.08080808080808081    0.008899269676297677
0.0   0.09090909090909091    0.009886579343293886
0.0   0.10101010101010102    0.01087300260084901
0.0   0.11111111111111112    0.01185824467727437
0.0   0.12121212121212122    0.012841952419239048
0.0   0.13131313131313133    0.013823709351351405
0.0   0.14141414141414144    0.014803030901173636
0.0   0.15151515151515152    0.01577935984706219
0.0   0.16161616161616163    0.01675206203215311
0.0   0.17171717171717174    0.017720422413107235
0.0   0.18181818181818182    0.018683641498779685
0.0   0.19191919191919193    0.0196408322622881
0.0   0.20202020202020204    0.02059101759755529
0.0   0.21212121212121213    0.02153312840588707
0.0   0.22222222222222224    0.022466002405573678
0.0   0.23232323232323235    0.02338838374703506
0.0   0.24242424242424243    0.02429892353192859
0.0   0.25252525252525254    0.025196181324548487
0.0   0.26262626262626265    0.026078627747313867
0.0   0.27272727272727276    0.02694464823511722
0.0   0.2828282828282829    0.027792548024709134
0.0   0.29292929292929293    0.028620558443880645
0.0   0.30303030303030304    0.029426844535153016
0.0   0.31313131313131315    0.03020951404705434
0.0   0.32323232323232326    0.030966627790187978
0.0   0.33333333333333337    0.03169621133724091
0.0   0.3434343434343435    0.032396268010255205
0.0   0.3535353535353536    0.033064793073710186
0.0   0.36363636363636365    0.033699789013945124
0.0   0.37373737373737376    0.03429928175183026
0.0   0.38383838383838387    0.03486133760843985
0.0   0.393939393939394    0.03538408080349308
0.0   0.4040404040404041    0.03586571123816683
0.0   0.4141414141414142    0.036304522297387516
0.0   0.42424242424242425    0.03669891837210719
0.0   0.43434343434343436    0.03704743181086616
0.0   0.4444444444444445    0.037348738971896
0.0   0.4545454545454546    0.03760167509086939
0.0   0.4646464646464647    0.03780524765584232
0.0   0.4747474747474748    0.037958648018127775
0.0   0.48484848484848486    0.03806126099973116
0.0   0.494949494949495    0.038112672290060996
